LarvaID;Diet;Dose;FoodWeighing
1;Poor;Control;Yes
2;Poor;Control;Yes
3;Poor;Control;Yes
4;Poor;Control;Yes
5;Poor;Control;Yes
6;Good;1/64;No
7;Good;1/64;No
8;Good;1/64;No
9;Good;1/64;No
10;Good;1/64;No
11;Good;1;Yes
12;Good;1;Yes
13;Good;1;Yes
14;Good;1;Yes
15;Good;1;Yes
16;Poor;1/16;Yes
17;Poor;1/16;Yes
18;Poor;1/16;Yes
19;Poor;1/16;Yes
20;Poor;1/16;Yes
21;Good;1/16;Yes
22;Good;1/16;Yes
23;Good;1/16;Yes
24;Good;1/16;Yes
25;Good;1/16;Yes
26;Poor;1/4;No
27;Poor;1/4;No
28;Poor;1/4;No
29;Poor;1/4;No
30;Poor;1/4;No
31;Poor;1/64;No
32;Poor;1/64;No
33;Poor;1/64;No
34;Poor;1/64;No
35;Poor;1/64;No
36;Poor;1;Yes
37;Poor;1;Yes
38;Poor;1;Yes
39;Poor;1;Yes
40;Poor;1;Yes
41;Good;Control;Yes
42;Good;Control;Yes
43;Good;Control;Yes
44;Good;Control;Yes
45;Good;Control;Yes
46;Good;1/4;No
47;Good;1/4;No
48;Good;1/4;No
49;Good;1/4;No
50;Good;1/4;No
51;Good;1/64;No
52;Good;1/64;No
53;Good;1/64;No
54;Good;1/64;No
55;Good;1/64;No
56;Good;1/4;No
57;Good;1/4;No
58;Good;1/4;No
59;Good;1/4;No
60;Good;1/4;No
61;Poor;1/4;No
62;Poor;1/4;No
63;Poor;1/4;No
64;Poor;1/4;No
65;Poor;1/4;No
66;Poor;Control;Yes
67;Poor;Control;Yes
68;Poor;Control;Yes
69;Poor;Control;Yes
70;Poor;Control;Yes
71;Good;1/16;Yes
72;Good;1/16;Yes
73;Good;1/16;Yes
74;Good;1/16;Yes
75;Good;1/16;Yes
76;Good;1;Yes
77;Good;1;Yes
78;Good;1;Yes
79;Good;1;Yes
80;Good;1;Yes
81;Poor;1/64;No
82;Poor;1/64;No
83;Poor;1/64;No
84;Poor;1/64;No
85;Poor;1/64;No
86;Poor;1;Yes
87;Poor;1;Yes
88;Poor;1;Yes
89;Poor;1;Yes
90;Poor;1;Yes
91;Good;Control;Yes
92;Good;Control;Yes
93;Good;Control;Yes
94;Good;Control;Yes
95;Good;Control;Yes
96;Poor;1/16;Yes
97;Poor;1/16;Yes
98;Poor;1/16;Yes
99;Poor;1/16;Yes
100;Poor;1/16;Yes
