LarvaID,Diet,Dose,FoodWeighing
1,Poor,1/4,No
2,Poor,1/4,No
3,Poor,1/4,No
4,Poor,1/4,No
5,Poor,1/4,No
6,Good,1,Yes
7,Good,1,Yes
8,Good,1,Yes
9,Good,1,Yes
10,Good,1,Yes
11,Poor,Control,Yes
12,Poor,Control,Yes
13,Poor,Control,Yes
14,Poor,Control,Yes
15,Poor,Control,Yes
16,Poor,1,Yes
17,Poor,1,Yes
18,Poor,1,Yes
19,Poor,1,Yes
20,Poor,1,Yes
21,Poor,1/64,No
22,Poor,1/64,No
23,Poor,1/64,No
24,Poor,1/64,No
25,Poor,1/64,No
26,Good,Control,Yes
27,Good,Control,Yes
28,Good,Control,Yes
29,Good,Control,Yes
30,Good,Control,Yes
31,Good,1/4,No
32,Good,1/4,No
33,Good,1/4,No
34,Good,1/4,No
35,Good,1/4,No
36,Good,1/16,Yes
37,Good,1/16,Yes
38,Good,1/16,Yes
39,Good,1/16,Yes
40,Good,1/16,Yes
41,Good,1/64,No
42,Good,1/64,No
43,Good,1/64,No
44,Good,1/64,No
45,Good,1/64,No
46,Poor,1/16,Yes
47,Poor,1/16,Yes
48,Poor,1/16,Yes
49,Poor,1/16,Yes
50,Poor,1/16,Yes
51,Good,1/4,No
52,Good,1/4,No
53,Good,1/4,No
54,Good,1/4,No
55,Good,1/4,No
56,Good,1/64,No
57,Good,1/64,No
58,Good,1/64,No
59,Good,1/64,No
60,Good,1/64,No
61,Poor,1,Yes
62,Poor,1,Yes
63,Poor,1,Yes
64,Poor,1,Yes
65,Poor,1,Yes
66,Poor,1/64,No
67,Poor,1/64,No
68,Poor,1/64,No
69,Poor,1/64,No
70,Poor,1/64,No
71,Poor,1/4,No
72,Poor,1/4,No
73,Poor,1/4,No
74,Poor,1/4,No
75,Poor,1/4,No
76,Good,Control,Yes
77,Good,Control,Yes
78,Good,Control,Yes
79,Good,Control,Yes
80,Good,Control,Yes
81,Good,1,Yes
82,Good,1,Yes
83,Good,1,Yes
84,Good,1,Yes
85,Good,1,Yes
86,Poor,1/16,Yes
87,Poor,1/16,Yes
88,Poor,1/16,Yes
89,Poor,1/16,Yes
90,Poor,1/16,Yes
91,Good,1/16,Yes
92,Good,1/16,Yes
93,Good,1/16,Yes
94,Good,1/16,Yes
95,Good,1/16,Yes
96,Poor,Control,Yes
97,Poor,Control,Yes
98,Poor,Control,Yes
99,Poor,Control,Yes
100,Poor,Control,Yes
